rating_score,num_ratings,num_reviews,current_readers,want_to_read,price,top_rank
3.97,100436,3376,3965,61000,11.99,0
3.87,36586,2747,891,16500,14.99,0
3.89,124628,4912,1903,20900,7.99,0
4.26,50674,2788,2335,13800,9.99,1
3.7,95771,6263,2190,97100,9.99,0
3.94,3175,199,569,8446,7.99,0
4.18,72035,7526,3845,49200,12.99,1
3.67,3023,203,47,2827,5.99,0
3.58,11805,998,697,15200,11.99,0
4.24,51184,7510,6608,35000,12.99,1
3.85,15701,591,231,6516,11.99,0
4.28,22151,2034,1623,26400,11.99,1
3.72,77452,2600,3357,18000,8.99,0
3.9,59253,1234,652,16900,7.99,0
3.76,4299,441,220,4062,8.99,0
4.07,112317,3296,4465,24000,9.99,1
3.87,50577,2427,1324,28500,11.99,0
3.75,14098,1620,1594,22600,8.99,0
3.97,2192,123,45,890,12.99,0
3.88,33008,905,551,23800,8.99,0
4.26,102391,12286,12800,121000,14.99,1
3.89,6641,378,368,1458,7.99,0
3.75,10551,1196,397,4361,7.99,0
4.02,235448,6028,1909,26800,8.99,3
3.92,421620,14223,6361,175000,6.99,0
4.23,72441,2566,1347,23400,9.99,1
4.11,193415,10573,3758,154000,6.49,1
3.81,97317,2799,869,18100,8.99,0
4.08,193774,16998,7451,208000,14.99,1
3.86,105076,5300,2412,70200,7.99,0
4.26,130277,5920,4429,82000,8.61,1
3.97,56477,3352,1135,11100,9.99,0
4.09,40646,2123,519,9982,13.99,1
4,675466,39878,32900,496000,13.99,0
3.41,41354,2736,1285,26000,7.99,0
4.29,110772,5512,2375,48400,13.99,1
4.29,136923,4350,2278,19900,9.99,1
4.21,20555,1241,1972,50100,6.99,1
3.52,42463,2378,1557,11700,9.99,0
4.15,44048,3255,608,33000,11.99,1
3.91,41957,2296,3727,31100,7.49,0
4.13,87884,3647,10200,19700,7.99,1
4.04,138934,2743,5852,305000,16.99,2
3.91,8002,482,274,1785,9.99,0
4.27,19268,681,1077,2957,9.99,1
4.21,61198,2224,4472,11100,10.99,1
4.05,53618,3548,2339,35300,13.99,1
3.76,33556,1159,842,29400,15.99,0
4.25,32194,2104,354,29500,6.24,1
3.91,23911,676,258,3511,4.99,0
3.84,23647,1574,804,30800,12.99,0
4.22,3948,321,347,5213,12.99,1
4.27,11560,971,2211,31400,12.99,1
3.9,10674,617,673,3021,10.99,0
4.21,38368,1995,1015,8137,10.99,1
4.26,12287,1491,491,19800,15.99,1
4.08,2683,283,360,9696,9.99,1
4.37,36113,1073,483,9568,12.99,1
3.45,33432,2252,1232,24600,13.99,0
4.05,72635,11248,2618,104000,11.99,1
3.29,31226,1789,434,20900,13.99,0
3.71,175852,8160,5784,67300,13.99,0
4.02,11318,430,248,7087,9.99,3
4.1,1211029,37225,8688,324000,13.99,1
4.01,247664,21840,14700,317000,8.99,0
4.12,258151,6199,1600,32100,7.99,1
4.25,917120,37041,13200,273000,9.99,1
4.12,222469,8951,2493,132000,7.99,1
3.85,73982,7199,3308,57300,5.99,0
4.22,179547,10065,34400,309000,14.99,1
4.2,800542,16474,7996,401000,2.99,1
4.16,34907,1674,316,9765,8.99,1
3.75,27861,1800,1236,31100,9.99,0
4.4,122916,4402,2312,41300,5.99,1
4.05,73009,3825,5282,208000,13.99,1
