language,num_pages,genres,rating_score,num_reviews,current_readers,want_to_read,price,rating
English,388,"['Fantasy', 'Young Adult', 'Historical Fiction', 'Historical', 'Young Adult Fantasy', 'Fiction', 'LGBT']",3.72,10202,3679,226000,0,
English,343,"['Science', 'Nonfiction', 'Biology', 'Evolution', 'Essays', 'Natural History', 'History']",4.12,140,180,222000,9.99,
English,394,"['Fantasy', 'Fiction', 'LGBT', 'Romance', 'Queer', 'Young Adult', 'Adult']",4.41,95598,33900,47800,12.99,
English,425,"['LGBT', 'Contemporary', 'Queer', 'Fiction', 'Audiobook', 'M M Romance', 'Adult']",4.02,19111,7639,275000,0,
English,264,"['Fiction', 'Contemporary', 'Literary Fiction', 'Audiobook', 'Mental Health', 'Africa', 'Adult']",4.12,16559,7411,241000,11.99,
English,344,"['Fantasy', 'LGBT', 'Young Adult', 'Queer', 'Fiction', 'Paranormal', 'Contemporary']",4.28,17126,4704,375000,0,
English,376,"['Romance', 'New Adult', 'Contemporary', 'High School', 'Sports Romance', 'Sports', 'Contemporary Romance']",4.12,5284,12900,23600,0,
English,624,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'World War II', 'Mystery', 'War']",4.45,21508,18800,374000,15.99,
English,592,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Young Adult Fantasy', 'LGBT', 'High Fantasy']",4.36,19236,6065,539000,9.99,
English,307,"['Thriller', 'Fiction', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Contemporary', 'Adult']",4.06,37195,13600,51800,12.99,
English,487,"['Contemporary', 'Adult', 'Chick Lit', 'New Adult', 'Audiobook', 'Adult Fiction', 'Young Adult']",3.84,70909,665,205000,0,
English,352,"['Thriller', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Fiction', 'Suspense', 'Adult']",4.15,33699,13200,188000,14.99,
English,397,"['Romance', 'Contemporary', 'Contemporary Romance', 'Fiction', 'Audiobook', 'Adult', 'Chick Lit']",3.97,49538,16400,4871,13.99,
English,29,"['Nonfiction', 'Politics', 'Audiobook', 'History', 'Adult', 'Contemporary', 'Social Justice']",4.56,2988,487,17900,9.99,
